team,season,home_avg,road_avg,overall_avg
Washington,2006,87631.0,68298.0,78609.0
NY Giants,2006,78613.0,70988.0,74800.0
Kansas City,2006,77909.0,68276.0,73781.0
NY Jets,2006,77321.0,69934.0,74155.0
Denver,2006,76347.0,68980.0,72909.0
Carolina,2006,73567.0,70728.0,72242.0
Cleveland,2006,72334.0,67449.0,70054.0
Baltimore,2006,70818.0,69830.0,70324.0
Green Bay,2006,70718.0,66934.0,69096.0
Atlanta,2006,70432.0,70343.0,70388.0
Houston,2006,70183.0,70347.0,70253.0
Philadelphia,2006,69224.0,71154.0,70125.0
Tennessee,2006,69143.0,69029.0,69094.0
New Orleans,2006,68808.0,69696.0,69252.0
New England,2006,68756.0,70478.0,69494.0
San Francisco,2006,68150.0,67610.0,67880.0
Seattle,2006,67977.0,67471.0,67724.0
Buffalo,2006,67646.0,68305.0,67928.0
Jacksonville,2006,66858.0,73164.0,69560.0
Los Angeles Chargers,2006,66378.0,70115.0,68122.0
Cincinnati,2006,65983.0,70869.0,68263.0
Tampa Bay,2006,65582.0,68265.0,66923.0
Los Angeles Rams,2006,65326.0,68332.0,66614.0
Arizona,2006,63603.0,67852.0,65424.0
Dallas,2006,63288.0,72900.0,68094.0
Pittsburgh,2006,62432.0,70034.0,65980.0
Chicago,2006,62223.0,69546.0,65640.0
Detroit,2006,60889.0,67183.0,63826.0
Washington,2007,88090.0,70158.0,79721.0
NY Giants,2007,78731.0,69496.0,74421.0
NY Jets,2007,77106.0,69676.0,73639.0
Kansas City,2007,76777.0,68320.0,73152.0
Denver,2007,76611.0,67942.0,72896.0
Carolina,2007,73402.0,67441.0,70422.0
Cleveland,2007,73000.0,67857.0,70600.0
Baltimore,2007,71153.0,67526.0,69460.0
Buffalo,2007,71054.0,71702.0,71357.0
Green Bay,2007,70805.0,70079.0,70466.0
Houston,2007,70519.0,68167.0,69511.0
New Orleans,2007,70004.0,68021.0,69078.0
Tennessee,2007,69143.0,69796.0,69447.0
New England,2007,68756.0,71637.0,69991.0
Atlanta,2007,68395.0,66520.0,67520.0
Seattle,2007,68193.0,67726.0,67960.0
Philadelphia,2007,68169.0,74201.0,70984.0
San Francisco,2007,68028.0,69201.0,68615.0
Cincinnati,2007,65790.0,69503.0,67523.0
Los Angeles Chargers,2007,65502.0,71186.0,67938.0
Tampa Bay,2007,65316.0,68587.0,66842.0
Jacksonville,2007,65301.0,69588.0,67301.0
Arizona,2007,64580.0,69472.0,67026.0
Los Angeles Rams,2007,64294.0,66916.0,65605.0
Dallas,2007,63534.0,72550.0,67742.0
Chicago,2007,62158.0,69636.0,65363.0
Pittsburgh,2007,62084.0,70579.0,66331.0
Detroit,2007,61304.0,70135.0,65089.0
Washington,2008,88604.0,67173.0,77888.0
NY Giants,2008,79069.0,68325.0,73697.0
NY Jets,2008,78482.0,67796.0,73139.0
Denver,2008,75509.0,70658.0,73084.0
Kansas City,2008,74077.0,68700.0,71389.0
Carolina,2008,73210.0,65704.0,69457.0
Cleveland,2008,72778.0,70674.0,71726.0
Buffalo,2008,71405.0,68806.0,70019.0
Baltimore,2008,71269.0,68164.0,69716.0
Green Bay,2008,70682.0,65496.0,68089.0
Houston,2008,70420.0,64031.0,67226.0
New Orleans,2008,70092.0,69007.0,69514.0
Philadelphia,2008,69144.0,69836.0,69490.0
Tennessee,2008,69143.0,66864.0,68003.0
New England,2008,68756.0,68762.0,68759.0
Los Angeles Chargers,2008,68138.0,67865.0,68011.0
Seattle,2008,67995.0,66393.0,67194.0
San Francisco,2008,67512.0,67031.0,67272.0
Indianapolis,2008,66378.0,68048.0,67213.0
Miami,2008,65489.0,70273.0,67722.0
Jacksonville,2008,65167.0,66441.0,65804.0
Cincinnati,2008,64582.0,69974.0,67278.0
Tampa Bay,2008,64511.0,66620.0,65565.0
Arizona,2008,64096.0,71787.0,67942.0
Atlanta,2008,64065.0,67168.0,65617.0
Dallas,2008,63368.0,71242.0,67305.0
Minnesota,2008,63267.0,64705.0,63986.0
Pittsburgh,2008,62890.0,71734.0,67312.0
Chicago,2008,62034.0,66516.0,64275.0
Los Angeles Rams,2008,59980.0,71283.0,65632.0
Las Vegas Raiders,2008,57850.0,70152.0,64001.0
Detroit,2008,54497.0,66808.0,60652.0
Dallas,2009,89756.0,73647.0,81701.0
Washington,2009,84794.0,65881.0,75337.0
NY Giants,2009,78701.0,74289.0,76495.0
NY Jets,2009,77052.0,63993.0,70958.0
Denver,2009,75116.0,67341.0,71228.0
Carolina,2009,73289.0,72038.0,72664.0
Baltimore,2009,71082.0,63177.0,67129.0
Green Bay,2009,70708.0,62689.0,66698.0
Houston,2009,70608.0,60623.0,65615.0
Buffalo,2009,70128.0,67284.0,68611.0
New Orleans,2009,70105.0,69396.0,69750.0
San Francisco,2009,69732.0,64717.0,67224.0
Philadelphia,2009,69144.0,73967.0,71555.0
Tennessee,2009,69143.0,66618.0,67880.0
Cleveland,2009,68888.0,62888.0,65888.0
New England,2009,68756.0,71956.0,70249.0
Atlanta,2009,68173.0,72658.0,70416.0
Los Angeles Chargers,2009,67543.0,72059.0,69801.0
Miami,2009,67542.0,69294.0,68418.0
Kansas City,2009,67514.0,63677.0,65595.0
Seattle,2009,67392.0,66393.0,66892.0
Indianapolis,2009,66549.0,66760.0,66654.0
Cincinnati,2009,64004.0,65379.0,64691.0
Minnesota,2009,63775.0,65490.0,64632.0
Pittsburgh,2009,63485.0,67938.0,65711.0
Arizona,2009,63142.0,61750.0,62446.0
Tampa Bay,2009,62991.0,71059.0,67294.0
Chicago,2009,62250.0,66639.0,64444.0
Los Angeles Rams,2009,55237.0,62715.0,58976.0
Jacksonville,2009,49651.0,69243.0,59447.0
Detroit,2009,49395.0,67064.0,58230.0
Las Vegas Raiders,2009,44284.0,71657.0,57971.0
Dallas,2010,87047.0,72699.0,79873.0
Washington,2010,83172.0,66047.0,74609.0
NY Giants,2010,79019.0,69867.0,74443.0
NY Jets,2010,78596.0,66825.0,72710.0
Denver,2010,74908.0,63749.0,69700.0
Carolina,2010,72620.0,62992.0,67806.0
Baltimore,2010,71227.0,69202.0,70214.0
Houston,2010,71080.0,67497.0,69289.0
Green Bay,2010,70795.0,69538.0,70166.0
New Orleans,2010,70038.0,69103.0,69570.0
San Francisco,2010,69732.0,66046.0,67766.0
Philadelphia,2010,69144.0,71596.0,70370.0
Tennessee,2010,69143.0,70265.0,69704.0
New England,2010,68756.0,67338.0,68047.0
Atlanta,2010,67850.0,64173.0,66011.0
Miami,2010,67744.0,66886.0,67315.0
Kansas City,2010,67672.0,66050.0,66861.0
Seattle,2010,66992.0,59192.0,63092.0
Indianapolis,2010,66975.0,69747.0,68361.0
Cleveland,2010,66116.0,61121.0,63619.0
Los Angeles Chargers,2010,65530.0,63059.0,64294.0
Buffalo,2010,63195.0,67692.0,65593.0
Pittsburgh,2010,63083.0,68130.0,65607.0
Jacksonville,2010,63032.0,69667.0,66350.0
Arizona,2010,62774.0,65066.0,63920.0
Chicago,2010,62195.0,67793.0,64807.0
Cincinnati,2010,60364.0,68866.0,64615.0
Minnesota,2010,58751.0,69973.0,64362.0
Detroit,2010,56285.0,65866.0,61076.0
Los Angeles Rams,2010,52922.0,60976.0,56949.0
Tampa Bay,2010,49314.0,67812.0,58563.0
Las Vegas Raiders,2010,46431.0,67491.0,56961.0
Dallas,2011,85512.0,71859.0,78685.0
NY Giants,2011,79475.0,74544.0,77009.0
NY Jets,2011,78986.0,69438.0,74212.0
Washington,2011,76921.0,70199.0,73784.0
Denver,2011,75327.0,63374.0,69350.0
New Orleans,2011,73042.0,65199.0,69120.0
Carolina,2011,72292.0,65030.0,68661.0
Kansas City,2011,72082.0,66318.0,69200.0
Houston,2011,71496.0,60966.0,66231.0
Baltimore,2011,71224.0,64263.0,67743.0
Green Bay,2011,70512.0,69865.0,70188.0
San Francisco,2011,69732.0,63430.0,66581.0
Philadelphia,2011,69144.0,72002.0,70573.0
Tennessee,2011,69143.0,65569.0,67356.0
Atlanta,2011,68986.0,65191.0,67088.0
New England,2011,68756.0,70580.0,69668.0
Seattle,2011,66413.0,67455.0,66934.0
Cleveland,2011,65859.0,63014.0,64437.0
Los Angeles Chargers,2011,65392.0,67718.0,66555.0
Indianapolis,2011,64828.0,66507.0,65668.0
Detroit,2011,63742.0,66455.0,65098.0
Pittsburgh,2011,63034.0,68154.0,65594.0
Minnesota,2011,62816.0,68132.0,65474.0
Buffalo,2011,62694.0,67770.0,65402.0
Jacksonville,2011,62331.0,68875.0,65603.0
Chicago,2011,62145.0,68456.0,65090.0
Arizona,2011,61181.0,64026.0,62603.0
Miami,2011,60886.0,72161.0,66523.0
Las Vegas Raiders,2011,59242.0,68086.0,63664.0
Tampa Bay,2011,56614.0,68246.0,62817.0
Los Angeles Rams,2011,56394.0,68862.0,62628.0
Cincinnati,2011,49251.0,66124.0,57687.0
Dallas,2012,88531.0,72759.0,80645.0
NY Giants,2012,80495.0,73245.0,76870.0
Washington,2012,79654.0,69058.0,74356.0
NY Jets,2012,79088.0,63702.0,71395.0
Denver,2012,76632.0,68089.0,72361.0
Carolina,2012,73293.0,65263.0,69278.0
New Orleans,2012,72888.0,72573.0,72731.0
Houston,2012,71665.0,68831.0,70248.0
Baltimore,2012,71278.0,67396.0,69337.0
Green Bay,2012,70507.0,67756.0,69131.0
Atlanta,2012,70096.0,67703.0,68899.0
San Francisco,2012,69732.0,67131.0,68431.0
Philadelphia,2012,69144.0,71717.0,70430.0
Tennessee,2012,69143.0,64694.0,66918.0
New England,2012,68755.0,71526.0,70048.0
Kansas City,2012,68508.0,61496.0,65002.0
Seattle,2012,67946.0,61812.0,65083.0
Cleveland,2012,66632.0,66526.0,66579.0
Indianapolis,2012,65189.0,67640.0,66415.0
Jacksonville,2012,64984.0,61337.0,63160.0
Buffalo,2012,64950.0,67230.0,66166.0
Detroit,2012,63769.0,66036.0,64903.0
