season,attendance,type,metric,team,lower,upper
2006,87631.0,historical,home_avg,Washington,,
2007,88090.0,historical,home_avg,Washington,,
2008,88604.0,historical,home_avg,Washington,,
2009,84794.0,historical,home_avg,Washington,,
2010,83172.0,historical,home_avg,Washington,,
2011,76921.0,historical,home_avg,Washington,,
2012,79654.0,historical,home_avg,Washington,,
2013,77220.0,historical,home_avg,Washington,,
2014,77964.0,historical,home_avg,Washington,,
2015,76209.0,historical,home_avg,Washington,,
2016,78304.0,historical,home_avg,Washington,,
2017,75175.0,historical,home_avg,Washington,,
2018,61028.0,historical,home_avg,Washington,,
2019,65488.0,historical,home_avg,Washington,,
2020,1500.0,historical,home_avg,Washington,,
2021,52751.0,historical,home_avg,Washington,,
2022,58106.0,historical,home_avg,Washington,,
2023,63950.0,historical,home_avg,Washington,,
2024,63428.0,historical,home_avg,Washington,,
2025,57114.92576516062,forecast,home_avg,Washington,47859.04762905976,66370.80390126148
2026,55339.249674277584,forecast,home_avg,Washington,42249.46128253115,68429.03806602402
2027,53563.573583394544,forecast,home_avg,Washington,37531.92238300194,69595.22478378715
2028,51787.8974925115,forecast,home_avg,Washington,33276.14122030979,70299.6537647132
2029,50012.22140162847,forecast,home_avg,Washington,29315.448697852906,70708.99410540404
2006,68298.0,historical,road_avg,Washington,,
2007,70158.0,historical,road_avg,Washington,,
2008,67173.0,historical,road_avg,Washington,,
2009,65881.0,historical,road_avg,Washington,,
2010,66047.0,historical,road_avg,Washington,,
2011,70199.0,historical,road_avg,Washington,,
2012,69058.0,historical,road_avg,Washington,,
2013,72780.0,historical,road_avg,Washington,,
2014,69448.0,historical,road_avg,Washington,,
2015,73301.0,historical,road_avg,Washington,,
2016,72527.0,historical,road_avg,Washington,,
2017,67029.0,historical,road_avg,Washington,,
2018,69367.0,historical,road_avg,Washington,,
2019,72195.0,historical,road_avg,Washington,,
2020,12016.0,historical,road_avg,Washington,,
2021,73227.0,historical,road_avg,Washington,,
2022,70191.0,historical,road_avg,Washington,,
2023,73793.0,historical,road_avg,Washington,,
2024,71631.0,historical,road_avg,Washington,,
2025,73104.62223905459,forecast,road_avg,Washington,68744.99877204285,77464.24570606633
2026,73407.9808603225,forecast,road_avg,Washington,67242.54222643448,79573.41949421051
2027,73711.33948159039,forecast,road_avg,Washington,66160.25013485647,81262.42882832431
2028,74014.69810285828,forecast,road_avg,Washington,65295.4511688348,82733.94503688176
2029,74318.05672412619,forecast,road_avg,Washington,64569.64229558462,84066.47115266776
2006,78609.0,historical,overall_avg,Washington,,
2007,79721.0,historical,overall_avg,Washington,,
2008,77888.0,historical,overall_avg,Washington,,
2009,75337.0,historical,overall_avg,Washington,,
2010,74609.0,historical,overall_avg,Washington,,
2011,73784.0,historical,overall_avg,Washington,,
2012,74356.0,historical,overall_avg,Washington,,
2013,75000.0,historical,overall_avg,Washington,,
2014,73706.0,historical,overall_avg,Washington,,
2015,74755.0,historical,overall_avg,Washington,,
2016,75415.0,historical,overall_avg,Washington,,
2017,71102.0,historical,overall_avg,Washington,,
2018,65197.0,historical,overall_avg,Washington,,
2019,68841.0,historical,overall_avg,Washington,,
2020,7809.0,historical,overall_avg,Washington,,
2021,63591.0,historical,overall_avg,Washington,,
2022,63793.0,historical,overall_avg,Washington,,
2023,69161.0,historical,overall_avg,Washington,,
2024,67288.0,historical,overall_avg,Washington,,
2025,66181.3716846729,forecast,overall_avg,Washington,61083.0716425054,71279.67172684039
2026,65605.43810982222,forecast,overall_avg,Washington,58395.35304514163,72815.52317450281
2027,65029.50453497155,forecast,overall_avg,Washington,56198.9898297069,73860.0192402362
2028,64453.57096012088,forecast,overall_avg,Washington,54256.9708757859,74650.17104445587
2029,63877.63738527021,forecast,overall_avg,Washington,52477.49192129365,75277.78284924677
2006,78613.0,historical,home_avg,NY Giants,,
2007,78731.0,historical,home_avg,NY Giants,,
2008,79069.0,historical,home_avg,NY Giants,,
2009,78701.0,historical,home_avg,NY Giants,,
2010,79019.0,historical,home_avg,NY Giants,,
2011,79475.0,historical,home_avg,NY Giants,,
2012,80495.0,historical,home_avg,NY Giants,,
2013,80148.0,historical,home_avg,NY Giants,,
2014,78967.0,historical,home_avg,NY Giants,,
2015,79001.0,historical,home_avg,NY Giants,,
2016,78789.0,historical,home_avg,NY Giants,,
2017,77179.0,historical,home_avg,NY Giants,,
2018,76940.0,historical,home_avg,NY Giants,,
2019,74664.0,historical,home_avg,NY Giants,,
2020,,historical,home_avg,NY Giants,,
2021,73882.0,historical,home_avg,NY Giants,,
2022,76474.0,historical,home_avg,NY Giants,,
2023,79307.0,historical,home_avg,NY Giants,,
2024,78470.0,historical,home_avg,NY Giants,,
2025,78463.15154297093,forecast,home_avg,NY Giants,76060.03187705771,80866.27120888414
2026,78456.30307357162,forecast,home_avg,NY Giants,75057.77865003166,81854.82749711158
2027,78449.45460417232,forecast,home_avg,NY Giants,74287.1292461427,82611.77996220195
2028,78442.60613477301,forecast,home_avg,NY Giants,73636.36680294659,83248.84546659944
2029,78435.75766537372,forecast,home_avg,NY Giants,73062.2187343252,83809.29659642224
2006,70988.0,historical,road_avg,NY Giants,,
2007,69496.0,historical,road_avg,NY Giants,,
2008,68325.0,historical,road_avg,NY Giants,,
2009,74289.0,historical,road_avg,NY Giants,,
2010,69867.0,historical,road_avg,NY Giants,,
2011,74544.0,historical,road_avg,NY Giants,,
2012,73245.0,historical,road_avg,NY Giants,,
2013,71043.0,historical,road_avg,NY Giants,,
